Ranking,Título,Año,Calificación,Duración (min),Metascore,Actores Principales
25,The Green Mile,1999,8.6,3h 9m,61,"Tom Hanks, Michael Clarke Duncan, David Morse"
50,2001: A Space Odyssey,1968,8.3,2h 29m,84,"Keir Dullea, Gary Lockwood, William Sylvester"
49,Léon: The Professional,1994,8.5,1h 50m,64,"Jean Reno, Gary Oldman, Natalie Portman"
48,Gladiator,2000,8.5,2h 35m,67,"Russell Crowe, Joaquin Phoenix, Connie Nielsen"
47,Back to the Future,1985,8.5,1h 56m,87,"Michael J. Fox, Christopher Lloyd, Lea Thompson"
46,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,1h 35m,97,"Peter Sellers, George C. Scott, Sterling Hayden"
45,The Sting,1973,8.2,2h 9m,83,"Paul Newman, Robert Redford, Robert Shaw"
44,Raiders of the Lost Ark,1981,8.4,1h 55m,86,"Harrison Ford, Karen Allen, Paul Freeman"
43,Mr. Smith Goes to Washington,1939,8.1,2h 9m,73,"James Stewart, Jean Arthur, Claude Rains"
42,Star Wars: Episode VI - Return of the Jedi,1983,8.3,2h 11m,58,"Mark Hamill, Harrison Ford, Carrie Fisher"
41,Harakiri,1962,8.6,2h 13m,85,"Tatsuya Nakadai, Akira Ishihama, Shima Iwashita"
40,Terminator 2: Judgment Day,1991,8.6,2h 17m,75,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong"
39,It Happened One Night,1934,8.1,1h 45m,87,"Clark Gable, Claudette Colbert, Walter Connolly"
38,City Lights,1931,8.5,1h 27m,99,"Charles Chaplin, Virginia Cherrill, Florence Lee"
37,Alien,1979,8.5,1h 57m,89,"Sigourney Weaver, Tom Skerritt, John Hurt"
36,Once Upon a Time in the West,1968,8.5,2h 46m,82,"Henry Fonda, Charles Bronson, Claudia Cardinale"
35,Modern Times,1936,8.5,1h 27m,96,"Charles Chaplin, Paulette Goddard, Henry Bergman"
34,The Lives of Others,2006,8.4,2h 17m,89,"Ulrich Mühe, Martina Gedeck, Sebastian Koch"
33,The Pianist,2002,8.5,2h 30m,85,"Adrien Brody, Thomas Kretschmann, Frank Finlay"
32,Cinema Paradiso,1988,8.5,2h 54m,80,"Philippe Noiret, Enzo Cannavale, Antonella Attili"
31,Apocalypse Now,1979,8.4,2h 27m,94,"Martin Sheen, Marlon Brando, Robert Duvall"
30,Psycho,1960,8.5,1h 49m,97,"Anthony Perkins, Janet Leigh, Vera Miles"
29,American History X,1998,8.5,1h 59m,62,"Edward Norton, Edward Furlong, Beverly D'Angelo"
28,Grave of the Fireflies,1988,8.5,1h 28m,94,"Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi"
27,Casablanca,1942,8.5,1h 42m,100,"Humphrey Bogart, Ingrid Bergman, Paul Henreid"
26,City of God,2002,8.6,2h 10m,79,"Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele"
24,Saving Private Ryan,1998,8.6,2h 49m,91,"Tom Hanks, Matt Damon, Tom Sizemore"
23,Seven Samurai,1954,8.6,3h 27m,98,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima"
22,The Silence of the Lambs,1991,8.6,1h 58m,86,"Jodie Foster, Anthony Hopkins, Scott Glenn"
21,It's a Wonderful Life,1946,8.6,2h 10m,89,"James Stewart, Donna Reed, Lionel Barrymore"
20,Se7en,1995,8.6,2h 7m,65,"Morgan Freeman, Brad Pitt, Kevin Spacey"
19,One Flew Over the Cuckoo's Nest,1975,8.7,2h 13m,84,"Jack Nicholson, Louise Fletcher, Michael Berryman"
18,Interstellar,2014,8.7,2h 49m,74,"Matthew McConaughey, Anne Hathaway, Jessica Chastain"
17,Goodfellas,1990,8.7,2h 25m,92,"Robert De Niro, Ray Liotta, Joe Pesci"
16,The Matrix,1999,8.7,2h 16m,73,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss"
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,2h 4m,82,"Mark Hamill, Harrison Ford, Carrie Fisher"
14,Inception,2010,8.8,2h 28m,74,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page"
13,Fight Club,1999,8.8,2h 19m,67,"Brad Pitt, Edward Norton, Meat Loaf"
12,The Lord of the Rings: The Two Towers,2002,8.8,2h 59m,87,"Elijah Wood, Ian McKellen, Viggo Mortensen"
11,Forrest Gump,1994,8.8,2h 22m,82,"Tom Hanks, Robin Wright, Gary Sinise"
10,"The Good, the Bad and the Ugly",1966,8.8,2h 58m,90,"Clint Eastwood, Eli Wallach, Lee Van Cleef"
9,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,2h 58m,92,"Elijah Wood, Ian McKellen, Orlando Bloom"
8,Pulp Fiction,1994,8.8,2h 34m,95,"John Travolta, Uma Thurman, Samuel L. Jackson"
7,Schindler's List,1993,9.0,3h 15m,95,"Liam Neeson, Ralph Fiennes, Ben Kingsley"
6,The Lord of the Rings: The Return of the King,2003,9.0,3h 21m,94,"Elijah Wood, Viggo Mortensen, Ian McKellen"
5,12 Angry Men,1957,9.0,1h 36m,97,"Henry Fonda, Lee J. Cobb, Martin Balsam"
4,The Godfather Part II,1974,9.0,3h 22m,90,"Al Pacino, Robert De Niro, Robert Duvall"
3,The Dark Knight,2008,9.1,2h 32m,85,"Christian Bale, Heath Ledger, Aaron Eckhart"
2,The Godfather,1972,9.2,2h 55m,100,"Marlon Brando, Al Pacino, James Caan"
1,The Shawshank Redemption,1994,9.3,2h 22m,82,"Tim Robbins, Morgan Freeman, Bob Gunton"
